LpId,LpTypeId,externalCameraId,x,y,Date,Hour,,,
11628203,1,LPR-HIK-MKZ-252,35.00765,32.10786,12/19/2023,45:03.3,,,No
10836602,4,136_92,35.289894,31.767723,12/19/2023,48:08.4,,,No
11248501,4,91_92,35.177219,31.71605,12/19/2023,50:01.4,,,No
10836602,1,LPR-HIK-JER-70,35.289782,31.784179,12/19/2023,50:49.6,,,No
1019852,1,LPR-HIK-JER-70,35.289782,31.784179,12/19/2023,53:31.6,,,No
10836602,1,LPR-HIK-JER-161,35.263855,31.783369,12/19/2023,53:34.8,,,No
11248501,4,91_92,35.177219,31.71605,12/19/2023,56:06.9,,,No
11248501,4,91_92,35.177219,31.71605,12/19/2023,56:26.3,,,No
1019852,1,LPR-HIK-JER-161,35.263855,31.783369,12/19/2023,56:38.8,,,No
1042073,1,Site68WestFront1,35.27288811,31.82351288,12/19/2023,58:50.7,,,No
1097467,1,Site53NorthRear2,35.09460818,31.94781951,12/19/2023,59:35.1,,,No
1097467,1,Site53WestFront1,35.09313768,31.9483192,12/19/2023,59:41.3,,,No
1097467,1,LPR-HIK-SHY-16-2,35.066738,31.961334,12/19/2023,01:55.3,,,No
1110168,1,Site1NorthRear,35.17583168,32.21702375,12/19/2023,01:57.3,,,No
10711301,4,33_81,35.031632,31.945002,12/19/2023,02:09.6,,,No
10711301,1,LPR-HIK-MKZ-75,35.032443,31.94204,12/19/2023,02:48.8,,,No
1078831,1,LPR-HIK-MKZ-57,35.0417981,31.8975318,12/19/2023,06:30.5,,,No
10995803,4,5127_91,35.291194,31.768001,12/19/2023,06:31.4,,,No
1097467,4,33_81,35.031632,31.945002,12/19/2023,07:08.9,,,No
1097467,1,LPR-HIK-MKZ-75,35.032443,31.94204,12/19/2023,07:52.6,,,No
1102588,1,LPR-HIK-MKZ-57,35.0417981,31.8975318,12/19/2023,09:49.1,,,No
1070331,1,LPR-HIK-JER-141,35.25934,31.798798,12/19/2023,12:34.0,,,No
10995803,1,LPR-HIK-JER-161,35.263855,31.783369,12/19/2023,15:38.3,,,No
1037476,4,6233_82,34.942919,31.359152,12/19/2023,18:33.3,,,No
1037476,1,LPR-HIK-DRM-157,34.934131,31.345369,12/19/2023,19:37.7,,,No
1037476,1,LPR-HIK-DRM-6,34.933608,31.343694,12/19/2023,19:44.5,,,No
10688402,4,5127_91,35.291194,31.768001,12/19/2023,28:41.4,,,No
1045175,4,0166_91,35.01049,32.187153,12/19/2023,29:08.9,,,No
10688402,1,LPR-HIK-JER-70,35.289782,31.784179,12/19/2023,31:20.7,,,No
11511901,1,LPR-HIK-MKZ-57,35.0417981,31.8975318,12/19/2023,31:27.4,,,No
10959402,1,LPR-HIK-JER-70,35.289782,31.784179,12/19/2023,31:50.0,,,No
10995803,1,LPR-HIK-JER-26,35.17698,31.87185,12/19/2023,36:54.0,,,No
1098463,1,LPR-HIK-MKZ-7,34.998507,32.184376,12/19/2023,36:55.7,,,No
10710501,4,9910_03,35.504576,32.325731,12/19/2023,37:06.0,,,No
10710501,4,9910_02,35.504576,32.325731,12/19/2023,37:07.7,,,No
1098463,1,LPR-HIK-MKZ-8,34.99917,32.18477,12/19/2023,37:22.3,,,No
1098463,4,0166_91,35.01049,32.187153,12/19/2023,38:23.8,,,No
10688402,1,LPR-HIK-JER-160,35.263806,31.783301,12/19/2023,38:49.8,,,No
10959402,1,LPR-HIK-JER-160,35.263806,31.783301,12/19/2023,39:03.2,,,No
1041676,4,154_92,35.305285,32.179156,12/19/2023,39:30.8,,,No
1037584,1,Site66SouthFront1,35.165373,32.108801,12/19/2023,28:00.5,,,No
1098463,1,LPR-HIK-SHY-9-1,35.051267,32.182495,12/19/2023,41:31.1,,,No
10710501,4,9906_02,35.508154,32.370849,12/19/2023,41:43.6,,,No
10710501,4,9906_01,35.508154,32.370849,12/19/2023,41:56.9,,,No
1098463,4,63_82,35.0596,32.1837,12/19/2023,42:28.1,,,No
1096334,1,LPR-HIK-JER-16,35.191218,31.800925,12/19/2023,42:33.8,,,No
1041676,4,80_90,35.272509,32.176568,12/19/2023,42:45.1,,,No
1041676,1,Site5SouthRear1,35.27226826,32.17586249,12/19/2023,43:18.4,,,No
1041676,1,Site5SouthRear2,35.27224744,32.17586073,12/19/2023,43:18.7,,,No
1037731,1,LPR-HIK-JER-16,35.191218,31.800925,12/19/2023,45:02.7,,,No
1098053,1,LPR-HIK-JER-51,35.111099,31.718702,12/19/2023,46:07.7,,,No
11106501,1,LPR-HIK-JER-127,35.227695,31.862105,12/19/2023,46:48.7,,,No
1071052,4,6233_82,34.942919,31.359152,12/19/2023,47:12.5,,,No
10809403,4,5127_91,35.291194,31.768001,12/19/2023,48:04.8,,,No
1071052,1,LPR-HIK-DRM-157,34.934131,31.345369,12/19/2023,48:23.8,,,No
1041676,4,7136_902,35.256567,32.116201,12/19/2023,52:35.2,,,No
10809403,1,LPR-HIK-JER-159,35.263855,31.783369,12/19/2023,52:38.2,,,No
10836602,1,LPR-HIK-JER-126,35.263757,31.783185,12/19/2023,52:50.0,,,No
1055532,1,LPR-HIK-ZFN-3,35.495251,32.400056,12/19/2023,54:06.2,,,No
1055532,1,LPR-HIK-ZFN-7,35.495444,32.400118,12/19/2023,54:11.1,,,No
1081175,4,33_81,35.031632,31.945002,12/19/2023,54:46.0,,,No
1081175,1,LPR-HIK-MKZ-75,35.032443,31.94204,12/19/2023,54:48.3,,,No
11028103,1,LPR-HIK-JER-71,35.2897828,31.7841793,12/19/2023,55:02.5,,,No
1128237,1,LPR-HIK-JER-160,35.263806,31.783301,12/19/2023,56:10.2,,,No
10750501,1,LPR-HIK-JER-77,35.1227,31.7134,12/19/2023,57:07.2,,,No
11028103,1,LPR-HIK-JER-160,35.263806,31.783301,12/19/2023,57:07.8,,,No
1055532,4,227_83,35.504709,32.325945,12/19/2023,00:58.9,,,No
1055532,4,9910_02,35.504576,32.325731,12/19/2023,01:02.6,,,No
1026167,1,LPR-HIK-SHY-5,34.997712,32.18796,12/19/2023,01:03.6,,,No
1098431,1,LPR-HIK-JER-13,35.19439,31.80083,12/19/2023,02:46.0,,,No
1000963,1,LPR-HIK-JER-38,35.261584,31.783971,12/19/2023,55:52.1,,,No
1000963,1,LPR-HIK-JER-126,35.263757,31.783185,12/19/2023,56:03.2,,,No
1041676,1,Site65122WestFront,35.1386831,32.1093786,12/19/2023,06:08.4,,,No
1165768,1,LPR-HIK-JER-51,35.111099,31.718702,12/19/2023,11:37.3,,,No
1144737,1,LPR-HIK-JER-71,35.2897828,31.7841793,12/19/2023,11:42.4,,,No
11090503,1,LPR-HIK-JER-70,35.289782,31.784179,12/19/2023,12:32.3,,,No
1165768,1,LPR-HIK-JER-121,35.119739,31.716478,12/19/2023,12:45.6,,,No
1144737,1,LPR-HIK-JER-159,35.263855,31.783369,12/19/2023,13:55.7,,,No
