ishitId,ExternalCameraId,Name,cameraType,brigadeName,siteName,x,y,Source
12631,LPR-HIK-MKZ-8,"מעבר אליהו 109, מכחול צילום אחורי",LPR,חטמר אפרים,מעבר אליהו,35.000488,32.185502,משטרה - הרכשה
11783,LPR-HIK-MKZ-143,מעבר חוצה שומרון 110 מאדום,LPR,חטמר אפרים,מעבר חוצה שומרון,35.009664,32.108112,משטרה - הרכשה
11784,LPR-HIK-MKZ-43,מעבר חוצה שומרון 110 מכחול,LPR,חטמר אפרים,מעבר חוצה שומרון,35.00765,32.10786,משטרה - הרכשה
12480,LPR-HIK-MKZ-252,מעבר חוצה שומרון 110 מכחול - צילום אחורי,LPR,חטמר אפרים,מעבר חוצה שומרון,35.00765,32.10786,משטרה - הרכשה
11797,LPR-HIK-MKZ-75,מעבר חשמונאים 446 מאדום,LPR,חטמר אפרים,מעבר חשמונאים,35.032443,31.94204,משטרה - הרכשה
11796,LPR-HIK-MKZ-23,מעבר חשמונאים 446 מכחול,LPR,חטמר אפרים,מעבר חשמונאים,35.03337632,31.94054149,משטרה - הרכשה
11785,LPR-HIK-MKZ-19,מעבר מכבים 443 מאדום 1+2,LPR,חטמר אפרים,מעבר מכבים,35.043621,31.896993,משטרה - הרכשה
11787,LPR-HIK-MKZ-20,מעבר מכבים 443 מאדום 3+4,LPR,חטמר אפרים,מעבר מכבים,35.043621,31.896993,משטרה - הרכשה
11790,LPR-HIK-MKZ-57,מעבר מכבים 443 מכחול,LPR,חטמר אפרים,מעבר מכבים,35.04276,31.897425,משטרה - הרכשה
12302,LPR-HIK-MKZ-13-1,מעבר צופים 107 מאדום ,LPR,חטמר אפרים,מעבר צופים,34.99948,32.19326,משטרה - הרכשה
12305,LPR-HIK-MKZ-14-2,מעבר צופים 107 מאדום צילום אחורי,LPR,חטמר אפרים,מעבר צופים,34.99948,32.19326,משטרה - הרכשה
12304,LPR-HIK-MKZ-14-1,מעבר צופים 107 מכחול ,LPR,חטמר אפרים,מעבר צופים,34.99948,32.19326,משטרה - הרכשה
12303,LPR-HIK-MKZ-13-2,מעבר צופים 107 מכחול צילום אחורי,LPR,חטמר אפרים,מעבר צופים,34.99948,32.19326,משטרה - הרכשה
11789,LPR-HIK-MKZ-3,מעבר שילה-רנטיס מאדום,LPR,חטמר אפרים,מעבר שילה-רנטיס,32.040287,35.006268,משטרה - הרכשה
11788,LPR-HIK-MKZ-2,מעבר שילה-רנטיס מכחול,LPR,חטמר אפרים,מעבר שילה-רנטיס,35.006268,32.040287,משטרה - הרכשה
12579,203_901,לכיוון המרקם חיים (3 מגה) (נתיקות),LPR,חטמר אפרים,מרקם חיים שוקבא,35.04724385,31.98061694,נתיקות - הרכשה
11666,185_81,ציר הכניסה מרנתיס (5 מגה)(נתיקות),LPR,חטמר אפרים,מתג 30 - רנתיס ,35.0132,32.0354,נתיקות - הרכשה
11667,185_82,ציר הנסיעה לכיוון בית אריה\חלמיש (5 מגה)(נתיקות),LPR,חטמר אפרים,מתג 30 - רנתיס ,35.0132,32.0354,נתיקות - הרכשה
11641,199_93,כניסה לעזון (9 מגה)(נתיקות),LPR,חטמר אפרים,נבי אליאס מזרח ,35.029773,32.184349,נתיקות - הרכשה
11643,199_91,מ\לכיוון נבי אליאס (5 מגה)(נתיקות),LPR,חטמר אפרים,נבי אליאס מזרח ,35.029773,32.184349,נתיקות - הרכשה
11642,199_92,מכיוון עזון (5 מגה)(נתיקות),LPR,חטמר אפרים,נבי אליאס מזרח ,35.029773,32.184349,נתיקות - הרכשה
11640,9187_91,ממזרח למערב (9 מגה)(נתיקות),LPR,חטמר אפרים,נבי אליאס מזרח ,35.03019,32.183328,נתיקות - הרכשה
11639,0190_91,ממערב למזרח (9 מגה)(נתיקות),LPR,חטמר אפרים,נבי אליאס מזרח ,35.031223,32.183635,נתיקות - הרכשה
9385,0166_91,לכיוון מעבר אליהו (5 מגה)(נתיקות),LPR,חטמר אפרים,נבי אליאס מערב ,35.01049,32.187153,נתיקות - הרכשה
9386,131_91,לכיוון עזון (5 מגה)(נתיקות),LPR,חטמר אפרים,נבי אליאס מערב ,35.012236,32.187282,נתיקות - הרכשה
9388,120_92,מנבי אליאס לכיוון ציר שחפים (5 מגה)(נתיקות),LPR,חטמר אפרים,נבי אליאס מערב ,35.011358,32.186824,נתיקות - הרכשה
9387,120_91,מציר שחפים לכיוון נבי אליאס (5 מגה)(נתיקות),LPR,חטמר אפרים,נבי אליאס מערב ,35.01134132,32.18683161,נתיקות - הרכשה
12569,634_91,ציר 465 - שני הכיוונים (5 מגה) (נתיקות),LPR,חטמר אפרים,נווה יאיר,35.101784,32.007807,נתיקות - הרכשה
11663,33_83,יציאה מנעלין (9 מגה)(נתיקות),LPR,חטמר אפרים,פילבוקס 418 ,35.03163397,31.9449979,נתיקות - הרכשה
11665,33_82,מגיעים מהמחסום (דרום) (9 מגה)(נתיקות),LPR,חטמר אפרים,פילבוקס 418 ,35.031632,31.945002,נתיקות - הרכשה
11664,33_81,מגיעים מנילי (צפון) (5 מגה)(נתיקות),LPR,חטמר אפרים,פילבוקס 418 ,35.031632,31.945002,נתיקות - הרכשה
11645,45_92,יציאה מכפר נעמה (9 מגה)(נתיקות),LPR,חטמר אפרים,פילבוקס ראס כרכר ,35.1010974,31.941819,נתיקות - הרכשה
11646,45_91,מצפון לדרום (9 מגה)(נתיקות),LPR,חטמר אפרים,פילבוקס ראס כרכר ,35.10116,31.941871,נתיקות - הרכשה
11398,LPR-HIK-SHY-17-1,צ. דיר בלוט כ. 446 למזרח מ-י,LPR,חטמר אפרים,צ. דיר בלוט כ. 446,35.040916,32.06383,משטרה - הרכשה
11399,LPR-HIK-SHY-17-2,צ. דיר בלוט כ. 446 למערב מ-י,LPR,חטמר אפרים,צ. דיר בלוט כ. 446,35.040916,32.06383,משטרה - הרכשה
4441,Site53SouthFront1,כניסה ויציאה מהכפר עין איוב1,LPR,חטמר אפרים,צ. הדואר ,35.09399428,31.94806222,HTS - הרכשה
4440,Site53NorthRear1,כניסה ויציאה מהכפר עין איוב2,LPR,חטמר אפרים,צ. הדואר ,35.09395145,31.94803366,HTS - הרכשה
4439,Site53EastRear1,מהצומת לכיוון נעלה (מערבה),LPR,חטמר אפרים,צ. הדואר ,35.09314719,31.94830492,HTS - הרכשה
4444,Site53SouthFront2,מהצומת לכיוון ראס כרכר (מערבה),LPR,חטמר אפרים,צ. הדואר ,35.09456535,31.94775765,HTS - הרכשה
4442,Site53WestFront1,מנעלה לצומת (מזרחה),LPR,חטמר אפרים,צ. הדואר ,35.09313768,31.9483192,HTS - הרכשה
4443,Site53NorthRear2,מראס כרכר לכיוון הצומת (מזרחה),LPR,חטמר אפרים,צ. הדואר ,35.09460818,31.94781951,HTS - הרכשה
12437,LPR-HIK-SHY-23-1,"צ. מעלה ישראל, כ. 505, למזרח",LPR,חטמר אפרים,צ. מעלה ישראל,35.10453,32.117196,משטרה - הרכשה
12601,LPR-HIK-SHY-23-2,"צ. מעלה ישראל, כ. 505, למערב",LPR,חטמר אפרים,צ. מעלה ישראל,35.10452572,32.11719336,משטרה - הרכשה
11401,LPR-HIK-SHY-16-2,צ. נעלה כ. 463 למזרח מ-י,LPR,חטמר אפרים,צ. נעלה כ. 463,35.06674,31.961334,משטרה - הרכשה
11400,LPR-HIK-SHY-16-1,צ. נעלה כ. 463 למערב מ-י,LPR,חטמר אפרים,צ. נעלה כ. 463,35.06674,31.961334,משטרה - הרכשה
11704,223_91,כניסה ויציאה מהכפר (כחול חשאי),LPR,חטמר אפרים,צ. עזון,35.056657,32.183251,נתיקות - הרכשה
11730,LPR-HIK-SHY-9-1,צ. עזון מערב כ. 55 למזרח,LPR,חטמר אפרים,צ. עזון,35.051267,32.182495,משטרה - הרכשה
11731,LPR-HIK-SHY-9-2,צ. עזון מערב כ. 55 למערב,LPR,חטמר אפרים,צ. עזון,35.051267,32.182495,משטרה - הרכשה
12439,LPR-HIK-SHY-27,"צ. קרית נטפים, כ. 505, למזרח",LPR,חטמר אפרים,צ. קרית נטפים,35.1168853,32.1131699,משטרה - הרכשה
12438,LPR-HIK-SHY-26,"צ. קרית נטפים, כ. 505, למערב",LPR,חטמר אפרים,צ. קרית נטפים,35.116581,32.113416,משטרה - הרכשה
11647,167_81,לכיוון קדומים (5 מגה)(נתיקות),LPR,חטמר אפרים,צומת 094 - מזרח-מערב (34),35.133203,32.186044,נתיקות - הרכשה
11648,167_82,"לכיוון קרנ""ש (5 מגה)(נתיקות)",LPR,חטמר אפרים,צומת 094 - מזרח-מערב (34),35.133203,32.186044,נתיקות - הרכשה
11649,196_90,לכיוון יקיר/ברקן (7 מגה)(נתיקות),LPR,חטמר אפרים,צומת 094 - צפון-דרום (34),35.133328,32.184754,נתיקות - הרכשה
8888,1182_90, לכיוון חלמיש (9 מגה)(נתיקות),LPR,חטמר אפרים,צומת 581 (180) ,35.039153,32.005524,נתיקות - הרכשה
12366,1181_81,לכיוון הכיכר (ציר מלכה) (5 מגה)(נתיקות),LPR,חטמר אפרים,צומת 581 (180) ,35.0381,32.005,נתיקות - הרכשה
9130,1181_82,ציר הנסיעה דרומה לכיוון נילי (5 מגה)(נתיקות),LPR,חטמר אפרים,צומת 581 (180) ,35.0381,32.005,נתיקות - הרכשה
9129,1181_83,ציר הנסיעה צפונה לכיוון עופרים (5 מגה)(נתיקות),LPR,חטמר אפרים,צומת 581 (180) ,35.0381,32.005,נתיקות - הרכשה
9139,63_82,לכיוון עזון (9 מגה)(נתיקות),LPR,חטמר אפרים,צומת 751 (36) ,35.0596,32.1837,נתיקות - הרכשה
9141,63_81,"לכיוון קרנ""ש (5 מגה)(נתיקות)",LPR,חטמר אפרים,צומת 751 (36) ,35.05960435,32.18369923,נתיקות - הרכשה
8874,229_82,"לכיוון ניל""י (5 מגה)(נתיקות)",LPR,חטמר אפרים,צומת 969 - מזרח\מערב,35.043535,31.967296,נתיקות - הרכשה
8875,229_81,לכיוון צפון (עפרים) (9 מגה)(נתיקות),LPR,חטמר אפרים,צומת 969 - מזרח\מערב,35.043535,31.967296,נתיקות - הרכשה
8872,55_82,בתוך הכיכר לכיון דרום (5 מגה)(נתיקות),LPR,חטמר אפרים,צומת 969 דרום\צפון,35.042153,31.9672,נתיקות - הרכשה
8873,55_81,מכיוון צפון (9 מגה)(נתיקות),LPR,חטמר אפרים,צומת 969 דרום\צפון,35.042153,31.9672,נתיקות - הרכשה
12318,1025_901,לכיוון ברוקין (9 מגה)(נתיקות),LPR,חטמר אפרים,צומת ברוקין ,35.103834,32.091554,נתיקות - הרכשה
12317,1025_902,לכיוון כביש 5 (9 מגה)(נתיקות),LPR,חטמר אפרים,צומת ברוקין ,35.10365258,32.09160293,נתיקות - הרכשה
