IshitId,ExternalCameraId,cameraType,Source,Name,IsDeleted,LastUpdateDate,folderName,siteName,brigadeName,x,y
11830,Site66KikarFront1,LPR,HTS - הרכשה,נסיעה במערב הכיכר נתיב ימני (קדמי),0,2023-05-08 13:19:42.200,מצלמות זיהוי לוחית רישוי אריאל,כיכר אריאל,חטמר אפרים,35.16501,32.10894
11829,Site66KikarFront2,LPR,HTS - הרכשה,נסיעה במערב הכיכר נתיב שמאלי (קדמי),0,2023-05-08 13:19:35.390,מצלמות זיהוי לוחית רישוי אריאל,כיכר אריאל,חטמר אפרים,35.16501,32.10894
9393,166_82,LPR,נתיקות - הרכשה,ציר יציאה מכפר ברוקין (5 מגה)(נתיקות),0,2024-03-17 16:50:01.031,מצלמות נתיקות,כפר ברוקין,חטמר אפרים,35.1035478179377,32.0898305038803
9394,166_81,LPR,נתיקות - הרכשה,ציר כניסה לכפר ברוקין (5 מגה)(נתיקות),0,2024-03-17 16:50:01.031,מצלמות נתיקות,כפר ברוקין,חטמר אפרים,35.1035573357818,32.0898067092702
8855,0874_92,LPR,נתיקות - הרכשה,יוצאים מקלקיליה (מערבית למוצב 422) (9 מגה)(נתיקות),0,2023-06-27 10:07:45.534,מצלמות נתיקות,מוצב 422 (קלקיליה),חטמר אפרים,34.996443,32.1879228929359
8854,0874_91,LPR,נתיקות - הרכשה,לכיוון מוצב 422 (2 מגה)(נתיקות),0,2023-11-27 16:17:13.813,מצלמות נתיקות,מוצב 422 (קלקיליה),חטמר אפרים,34.996443,32.18798
8983,0874_93,LPR,נתיקות - הרכשה,נכנסים לקלקיליה (מערבית למוצב 422) (9 מגה)(נתיקות),0,2023-11-08 10:56:59.166,מצלמות נתיקות,מוצב 422 (קלקיליה),חטמר אפרים,34.996443,32.18798
11397,LPR-HIK-SHY-6,LPR,משטרה - הרכשה,קלקיליה כ. 5505 יציאה מ-י,0,2023-10-16 20:10:48.638,עין הנץ,מוצב 422 (קלקיליה),חטמר אפרים,34.996227,32.18815
11396,LPR-HIK-SHY-5,LPR,משטרה - הרכשה,קלקיליה כ. 5505 כניסה מ-י,0,2023-10-16 20:10:48.638,עין הנץ,מוצב 422 (קלקיליה),חטמר אפרים,34.996227,32.18815
11781,LPR-HIK-MKZ-140,LPR,משטרה - הרכשה,מעבר אליהו 109 מאדום,0,2022-08-09 15:41:52.829,עין הנץ,מעבר אליהו,חטמר אפרים,35.000488,32.185502
