LpId,LpTypeId,externalCameraId,x,y,Date,Hour
1019852,1,LPR-HIK-JER-70,35.289782,31.784179,2023-12-19,06:53:31.553
10836602,1,LPR-HIK-JER-161,35.263855,31.783369,2023-12-19,06:53:34.757
11248501,4,91_92,35.177219,31.71605,2023-12-19,06:56:06.923
11248501,4,91_92,35.177219,31.71605,2023-12-19,06:56:26.271
1019852,1,LPR-HIK-JER-161,35.263855,31.783369,2023-12-19,06:56:38.792
1042073,1,Site68WestFront1,35.2728881090702,31.8235128752325,2023-12-19,06:58:50.660
1097467,1,Site53NorthRear2,35.0946081829388,31.9478195121304,2023-12-19,06:59:35.112
1097467,1,Site53WestFront1,35.0931376760372,31.9483191989416,2023-12-19,06:59:41.265
1097467,1,LPR-HIK-SHY-16-2,35.066738,31.961334,2023-12-19,07:01:55.346
1110168,1,Site1NorthRear,35.1758316792381,32.2170237539927,2023-12-19,07:01:57.280
10711301,4,33_81,35.031632,31.945002,2023-12-19,07:02:09.564
10711301,1,LPR-HIK-MKZ-75,35.032443,31.94204,2023-12-19,07:02:48.774
1078831,1,LPR-HIK-MKZ-57,35.0417981,31.8975318,2023-12-19,07:06:30.488
10995803,4,5127_91,35.291194,31.768001,2023-12-19,07:06:31.411
1097467,4,33_81,35.031632,31.945002,2023-12-19,07:07:08.906
1097467,1,LPR-HIK-MKZ-75,35.032443,31.94204,2023-12-19,07:07:52.564
1102588,1,LPR-HIK-MKZ-57,35.0417981,31.8975318,2023-12-19,07:09:49.126
1070331,1,LPR-HIK-JER-141,35.25934,31.798798,2023-12-19,07:12:34.045
10995803,1,LPR-HIK-JER-161,35.263855,31.783369,2023-12-19,07:15:38.301
1037476,4,6233_82,34.942919,31.359152,2023-12-19,07:18:33.317
1037476,1,LPR-HIK-DRM-157,34.934131,31.345369,2023-12-19,07:19:37.660
1037476,1,LPR-HIK-DRM-6,34.933608,31.343694,2023-12-19,07:19:44.498
10688402,4,5127_91,35.291194,31.768001,2023-12-19,07:28:41.364
1045175,4,0166_91,35.01049,32.187153,2023-12-19,07:29:08.904
10688402,1,LPR-HIK-JER-70,35.289782,31.784179,2023-12-19,07:31:20.739
11511901,1,LPR-HIK-MKZ-57,35.0417981,31.8975318,2023-12-19,07:31:27.352
10959402,1,LPR-HIK-JER-70,35.289782,31.784179,2023-12-19,07:31:50.018
10995803,1,LPR-HIK-JER-26,35.17698,31.87185,2023-12-19,07:36:53.967
1098463,1,LPR-HIK-MKZ-7,34.998507,32.184376,2023-12-19,07:36:55.660
10710501,4,9910_03,35.504576,32.325731,2023-12-19,07:37:06.018
10710501,4,9910_02,35.504576,32.325731,2023-12-19,07:37:07.653
1098463,1,LPR-HIK-MKZ-8,34.99917,32.18477,2023-12-19,07:37:22.253
1098463,4,0166_91,35.01049,32.187153,2023-12-19,07:38:23.830
10688402,1,LPR-HIK-JER-160,35.263806,31.783301,2023-12-19,07:38:49.835
10959402,1,LPR-HIK-JER-160,35.263806,31.783301,2023-12-19,07:39:03.249
1041676,4,154_92,35.305285,32.179156,2023-12-19,07:39:30.752
1037584,1,Site66SouthFront1,35.165373,32.108801,2023-12-19,15:28:00.489
1098463,1,LPR-HIK-SHY-9-1,35.051267,32.182495,2023-12-19,07:41:31.063
10710501,4,9906_02,35.508154,32.370849,2023-12-19,07:41:43.611
10710501,4,9906_01,35.508154,32.370849,2023-12-19,07:41:56.862
1098463,4,63_82,35.0596,32.1837,2023-12-19,07:42:28.120
1096334,1,LPR-HIK-JER-16,35.191218,31.800925,2023-12-19,07:42:33.822
1041676,4,80_90,35.272509,32.176568,2023-12-19,07:42:45.073
1041676,1,Site5SouthRear1,35.2722682594781,32.1758624923592,2023-12-19,07:43:18.448
1041676,1,Site5SouthRear2,35.2722474391943,32.1758607281593,2023-12-19,07:43:18.694
1037731,1,LPR-HIK-JER-16,35.191218,31.800925,2023-12-19,07:45:02.748
1098053,1,LPR-HIK-JER-51,35.111099,31.718702,2023-12-19,07:46:07.675
11106501,1,LPR-HIK-JER-127,35.227695,31.862105,2023-12-19,07:46:48.734
1071052,4,6233_82,34.942919,31.359152,2023-12-19,07:47:12.456
10809403,4,5127_91,35.291194,31.768001,2023-12-19,07:48:04.829
1071052,1,LPR-HIK-DRM-157,34.934131,31.345369,2023-12-19,07:48:23.785
1041676,4,7136_902,35.256567,32.116201,2023-12-19,07:52:35.198
10809403,1,LPR-HIK-JER-159,35.263855,31.783369,2023-12-19,07:52:38.167
10836602,1,LPR-HIK-JER-126,35.263757,31.783185,2023-12-19,07:52:49.982
1055532,1,LPR-HIK-ZFN-3,35.495251,32.400056,2023-12-19,07:54:06.247
1055532,1,LPR-HIK-ZFN-7,35.495444,32.400118,2023-12-19,07:54:11.129
1081175,4,33_81,35.031632,31.945002,2023-12-19,07:54:45.996
1081175,1,LPR-HIK-MKZ-75,35.032443,31.94204,2023-12-19,07:54:48.296
11028103,1,LPR-HIK-JER-71,35.2897828,31.7841793,2023-12-19,07:55:02.547
1128237,1,LPR-HIK-JER-160,35.263806,31.783301,2023-12-19,07:56:10.214
10750501,1,LPR-HIK-JER-77,35.1227,31.7134,2023-12-19,07:57:07.235
